ERG,Ecoregion,dhw_glob,population_glob,interaction_glob,dhw_mpa,population_mpa,interaction_mpa,dhw_non_mpa,population_non_mpa,interaction_non_mpa
ERG113,"Cook Islands, south-west Pacific",,,,,,,,,
ERG114,"Austral Islands, French Polynesia",,,,,,,,,
ERG115,"Society Islands, French Polynesia",0,-1,-1,,,,0,-1,-1
ERG116,"Western Tuamotu Archipelago, central Pacific",,,,,,,,,
ERG117,Pitcairn and south-east Tuamoto Archipelago,,,,,,,,,
ERG118,"Line Islands, south-east Kiribati",,,,,,,,,
ERG119,"Marquesas Islands, French Polynesia",,,,,,,,,
ERG120,"Line Islands, north-east Kiribati",,,,,,,,,
ERG121,"Johnston Atoll, north central Pacific",,,,,,,,,
ERG122,North-west Hawaii,,,,,,,,,
ERG123,Eastern Hawaii,0,0,0,0,0,0,0,0,0
ERG124,"Easter Island, south central Pacific",,,,,,,,,
ERG125,Gulf of California,,,,,,,,,
ERG126,Western Mexico and Revillagigedo Islands,,,,,,,,,
ERG127,"Clipperton Atoll, eastern Pacific",,,,,,,,,
ERG128,"Guatemala, El Salvador and Nicaragua, Pacific coast",,,,,,,,,
ERG129,"Costa Rica and Panama, Pacific coast",,,,,,,,,
ERG130,"Colombia, Ecuador and Chile, Pacific coast",,,,,,,,,
ERG131,"Isla de Malpelo, Colombia",,,,,,,,,
ERG132,"Cocos Island, Costa Rica",,,,,,,,,
ERG133,Galapagos Islands,,,,,,,,,
ERG134,"Flower Garden Banks, Gulf of Mexico",,,,,,,,,
ERG135,"Bay of Campeche, Yucatan, Gulf of Mexico",,,,,,,,,
ERG136,Belize and west Caribbean,0,0,-1,0,-2,0,1,2,1
ERG137,Netherlands Antilles and south Caribbean,0,0,0,0,0,0,0,0,0
ERG138,"Hispaniola, Puerto Rico and Lesser Antilles",2,0,0,1,0,0,2,-2,0
ERG139,Jamaica,2,0,0,0,0,0,2,0,0
ERG140,Cuba and Cayman Islands,,,,,,,,,
ERG141,Bahamas and Florida Keys,0,0,0,0,0,-1,0,0,0
ERG142,North Florida to North Carolina,,,,,,,,,
ERG143,Bermuda,,,,,,,,,
ERG144,Brazil,2,2,2,1,1,2,2,0,1
ERG145,Central Atlantic,,,,,,,,,
ERG146,Gulf of Guinea to Sierra Leone,,,,,,,,,
ERG147,Cape Verde Islands,,,,,,,,,
ERG148,Canary Islands,,,,,,,,,
ERG149,Madeira and Azores Islands,,,,,,,,,
ERG150,Mediterranean,,,,,,,,,
